title,company,location,salary,required_experience,skills,time_posted,link,keyword
Data Analyst (Supply Chain),Korzinka (Anglesey food) ,,,3–6 лет,,11/02/2024,https://hh.ru/vacancy/109965942?query=Data+analyst&hhtmFrom=vacancy_search_list,Data analyst
DATA АНАЛИТИК/ Аналитик данных,IP OOO Finserv Tech,,,1–3 года,Русский — C2 — В совершенстве,11/04/2024,https://hh.ru/vacancy/110038122?query=Data+analyst&hhtmFrom=vacancy_search_list,Data analyst
Data Engineer (Дата инженер),INFODECS LLC,,,3–6 лет,"Python, SQL, Amazon Web Services, GCP - cloud, Azure - cloud",11/04/2024,https://hh.ru/vacancy/107872893?query=Data+engineer&hhtmFrom=vacancy_search_list,Data engineer
Data Engineer,Korzinka (Anglesey food) ,,,3–6 лет,,11/02/2024,https://hh.ru/vacancy/109966411?query=Data+engineer&hhtmFrom=vacancy_search_list,Data engineer
Data Engineer AI (удаленно),LATOKEN ,,от 2 200 до 3 400 $ на руки,3–6 лет,"Python, DWH, PostgresSQL, CRM, ERP, SQL, ETL, PowerBI, PostgreSQL, Power BI, ML",11/02/2024,https://hh.ru/vacancy/109619109?query=Data+engineer&hhtmFrom=vacancy_search_list,Data engineer
Data Engineer AI (удаленно),LATOKEN ,,от 2 200 до 3 400 $ на руки,3–6 лет,"Python, DWH, PostgresSQL, CRM, ERP, SQL, ETL, PowerBI, PostgreSQL, Power BI, ML",11/02/2024,https://hh.ru/vacancy/109619109?query=AI+engineer&hhtmFrom=vacancy_search_list,AI engineer
Middle/Senior Android developer,АО PAYME,,,3–6 лет,"Java, Android SDK, Kotlin, Android, Git",11/04/2024,https://hh.ru/vacancy/110047447?query=Android+developer&hhtmFrom=vacancy_search_list,Android developer
DevOps Engineer (Middle/Senior),TBC ,,,3–6 лет,,11/04/2024,https://hh.ru/vacancy/110034957?query=DevOps+engineer&hhtmFrom=vacancy_search_list,DevOps engineer
IT Project manager,OOO Amedia Online Group,,,1–3 года,,11/03/2024,https://hh.ru/vacancy/108229659?query=IT+project+manager&hhtmFrom=vacancy_search_list,IT project manager
Сетевой инженер,SP OOO IST TELEKOM,,,3–6 лет,"Администрирование сетевого оборудования, Инженерная инфраструктура и сети, Cisco, CCNA, Русский — B2 — Средне-продвинутый, Английский — B2 — Средне-продвинутый",11/04/2024,https://hh.ru/vacancy/109846790?query=Network+engineer&hhtmFrom=vacancy_search_list,Network engineer
Сетевой инженер,OOOO Your Digitality,,,3–6 лет,"Настройка сетевых подключений, Администрирование сетевого оборудования, Техническое обслуживание, Настройка ПО, Информационная безопасность, Настройка серверов, Английский язык",11/04/2024,https://hh.ru/vacancy/110034096?query=Network+engineer&hhtmFrom=vacancy_search_list,Network engineer
Senior Full-stack Разработчик (C# и Angular),OOO UZINFOCOM,,,более 6 лет,".NET Core, .NET Framework, Angular, C#",11/04/2024,https://hh.ru/vacancy/110057372?query=Full+stack+developer&hhtmFrom=vacancy_search_list,Full stack developer
Full stack developer Vue/PHP,3205.team ,,,1–3 года,"TypeScript, React.js, VueJS, PHP, JavaScript, Laravel",11/04/2024,https://hh.ru/vacancy/109152799?query=Full+stack+developer&hhtmFrom=vacancy_search_list,Full stack developer
